subset,k,aic
"('OMCLag2',)",1,5478.689522946331
"('VolumeLag1',)",1,5478.786993493327
"('VolumeLag2',)",1,5478.7916814734035
"('OMCLag1',)",1,5478.859101702314
"('HMLLag3',)",1,5478.883056739265
"('HMLLag1',)",1,5478.895285753428
"('HMLLag2',)",1,5478.898992905129
"('OMCLag3',)",1,5478.9207508694
"('CloseLag2',)",1,5478.923986190379
"('CloseEMA2',)",1,5478.924045036901
"('CloseLag1',)",1,5478.924172424139
"('CloseLag3',)",1,5478.9242486329995
"('CloseEMA4',)",1,5478.924393399926
"('CloseEMA8',)",1,5478.9250143422605
"('VolumeLag3',)",1,5478.925832164715
"('VolumeLag2', 'VolumeLag3')",2,5480.439498546586
"('OMCLag2', 'VolumeLag1')",2,5480.533998215914
"('OMCLag2', 'VolumeLag2')",2,5480.539971935961
"('VolumeLag1', 'VolumeLag3')",2,5480.575948145912
"('HMLLag3', 'OMCLag2')",2,5480.62865130751
"('OMCLag1', 'OMCLag2')",2,5480.6300056116115
"('HMLLag2', 'OMCLag2')",2,5480.647061211425
"('HMLLag1', 'OMCLag2')",2,5480.65428053193
"('OMCLag2', 'OMCLag3')",2,5480.679375098334
"('CloseLag2', 'VolumeLag1')",2,5480.684285579837
"('VolumeLag1', 'CloseEMA2')",2,5480.684536848325
"('CloseLag1', 'VolumeLag1')",2,5480.685374309307
"('CloseLag3', 'VolumeLag1')",2,5480.686155061656
"('OMCLag2', 'VolumeLag3')",2,5480.686419979747
"('VolumeLag1', 'CloseEMA4')",2,5480.686888553075
"('CloseLag3', 'OMCLag2')",2,5480.688355751651
"('CloseLag2', 'OMCLag2')",2,5480.68880421721
"('OMCLag2', 'CloseEMA2')",2,5480.688816121662
"('CloseLag1', 'OMCLag2')",2,5480.688869237209
"('OMCLag2', 'CloseEMA4')",2,5480.688883301906
"('OMCLag2', 'CloseEMA8')",2,5480.689052856262
"('VolumeLag1', 'CloseEMA8')",2,5480.691385616005
"('CloseLag2', 'VolumeLag2')",2,5480.69146896786
"('VolumeLag2', 'CloseEMA2')",2,5480.691834773261
"('CloseLag1', 'VolumeLag2')",2,5480.692667971456
"('CloseLag3', 'VolumeLag2')",2,5480.69328030082
"('VolumeLag2', 'CloseEMA4')",2,5480.694120313445
"('VolumeLag2', 'CloseEMA8')",2,5480.69853165752
"('OMCLag1', 'VolumeLag1')",2,5480.725380573793
"('OMCLag1', 'VolumeLag2')",2,5480.728559416349
"('CloseLag2', 'CloseEMA8')",2,5480.752671613147
"('CloseLag2', 'HMLLag3')",2,5480.76152297689
"('HMLLag3', 'CloseEMA2')",2,5480.761640930509
"('CloseEMA4', 'CloseEMA8')",2,5480.7623355662145
"('CloseLag1', 'HMLLag3')",2,5480.762946460376
"('CloseLag3', 'HMLLag3')",2,5480.763642126735
"('HMLLag3', 'CloseEMA4')",2,5480.764597544885
"('HMLLag3', 'CloseEMA8')",2,5480.769596930744
"('OMCLag3', 'VolumeLag1')",2,5480.777410652295
"('VolumeLag1', 'VolumeLag2')",2,5480.780307240464
"('OMCLag3', 'VolumeLag2')",2,5480.7822786557135
"('HMLLag3', 'VolumeLag1')",2,5480.782362735365
"('HMLLag1', 'VolumeLag1')",2,5480.7848086355625
"('HMLLag3', 'VolumeLag2')",2,5480.786054899978
"('HMLLag2', 'VolumeLag1')",2,5480.78626614717
"('HMLLag1', 'VolumeLag2')",2,5480.79006744003
"('HMLLag2', 'VolumeLag2')",2,5480.790253700135
"('CloseEMA2', 'CloseEMA8')",2,5480.793854676464
"('CloseLag2', 'HMLLag1')",2,5480.798190016263
"('HMLLag1', 'CloseEMA2')",2,5480.799002437161
"('CloseLag3', 'HMLLag1')",2,5480.799426534499
"('CloseLag1', 'HMLLag1')",2,5480.800028405527
"('HMLLag1', 'CloseEMA4')",2,5480.801258092616
"('HMLLag1', 'CloseEMA8')",2,5480.805481792224
"('CloseLag2', 'HMLLag2')",2,5480.810040121555
"('HMLLag2', 'CloseEMA2')",2,5480.8104896193
"('CloseLag1', 'HMLLag2')",2,5480.811738846299
"('CloseLag3', 'HMLLag2')",2,5480.811851989697
"('HMLLag2', 'CloseEMA4')",2,5480.812909963367
"('HMLLag2', 'CloseEMA8')",2,5480.817167933546
"('HMLLag3', 'OMCLag1')",2,5480.824059919331
"('CloseLag1', 'CloseEMA8')",2,5480.828310340323
"('HMLLag1', 'OMCLag1')",2,5480.8331178606395
"('HMLLag2', 'OMCLag1')",2,5480.836307613211
